Id;City;Area;Street;HouseNumber;Price;Size;Rooms;Floor;NumberOfFloors;Year;Type;Heating;Furnishings;Link;UploadDate;ViewedBy;RememberedBy;ScrapeDate;Class
081DF28D-11CF-488B-A5CD-1542050A6D58;Kaunas;" Petrašiūnai";" M. Gimbutienės g.";6A;63000;37;2;5;9;1985;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-petrasiunuose-m-gimbutienes-g-prie-pazaislio-silo-suremontuotas-2-kamb-1-3177068/;2022-02-04 00:00:00.0000000;2253;53;2022-02-16 22:54:57.8038420;butas
FB8BFA65-1A3D-4C58-865E-15C30FA0493E;Kaunas;" Freda";" Europos pr.";4;157537;58,72;3;5;7;2022;Blokinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-fredoje-europos-pr-butas-su-25m2-terasa-ant-stogo-visa-1-3059581/;2021-07-27 00:00:00.0000000;2395;13;2022-02-17 08:05:00.4637360;butas
CEEC77C5-E9E5-454C-93B4-15D8F0D5DD23;Kaunas;" Eiguliai";" Šiaurės pr.";27;113000;80;4;3;5;1978;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-eiguliuose-siaures-pr-parduodamas-butas-su-baldais-ir-technika-1-3102841/;2021-11-15 00:00:00.0000000;5352;27;2022-02-17 07:41:53.3662150;butas
CC2B0011-8049-4667-9800-160EFFA39C50;Kaunas;" Dainava";" V. Krėvės pr.";35;83000;64,09;3;7;9;1973;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-parduodamas-jaukus-ir-tvarkingas-3-ju-1-3179512/;2022-02-11 00:00:00.0000000;516;4;2022-02-16 22:32:54.4989650;butas
DD380856-B2C1-4CCA-91B9-16A6E0E9C537;Kaunas;" Žaliakalnis";" Savanorių pr.";11;71999;32;2;3;3;2021;Mūrinis;Centrinis kolektorinis;Įrengtas;https://www.aruodas.lt/butai-kaune-zaliakalnyje-savanoriu-pr-loft206-ko-gero-geriausi-loftai-kaune-1-3081305/;2021-09-10 00:00:00.0000000;4517;29;2022-02-17 07:29:29.7867990;butas
748851D4-82E4-4B65-958D-17177735947F;Kaunas;" Lampėdžiai";" Batniavos g.";17;308752;132;5;3;3;2022;Mūrinis;Dujinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-lampedziuose-batniavos-g-wwwlampedziokrantaslt-visa-informacija-1-3161643/;2022-02-08 00:00:00.0000000;294;9;2022-02-16 22:45:39.8382270;butas
E0043691-1FB4-40CE-BCC4-175045D55FA2;Kaunas;" Dainava";" K. Baršausko g.";14;59000;42,55;2;4;4;1960;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-k-barsausko-g-parduodamas-dvieju-kambariu-butas-dainavoje-1-3175342/;2022-01-30 00:00:00.0000000;2337;54;2022-02-17 01:24:02.5434660;butas
9C6B39B0-8AF3-4543-9ADD-1863BE81AC0B;Kaunas;" Žemieji Šančiai";" Kranto al.";30D;85000;60,2;3;1;5;1971;Mūrinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-sanciuose-kranto-al-parduodamas-3-iu-kambariu-butas-su-puikiu-1-3178908/;2022-02-10 00:00:00.0000000;394;8;2022-02-16 22:38:47.9989460;butas
AA340C9D-F263-40D9-8477-18C287928D7F;Kaunas;" Kalniečiai";" Savanorių pr.";413;64900;36,08;1;4;5;1979;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-kalnieciuose-savanoriu-pr-parduodamas-kapitaliskai-suremontuotas-vieno-1-3179768/;2022-02-16 00:00:00.0000000;108;12;2022-02-16 22:18:19.9258010;butas
2716820E-B99D-4EE9-B148-18F1C7849408;Kaunas;" Dainava";" Kovo 11-osios g.";1A;60660;43,71;2;5;5;1967;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-kovo-11-osios-g-parduodamas-2-kambariu-butas-renovuotame-name-1-3177546/;2022-02-14 00:00:00.0000000;723;31;2022-02-16 22:28:36.3093550;butas
A6AF9888-923A-4049-B0F3-190AF93C28B8;Kaunas;" Dainava";" Partizanų g.";34;96860;57,63;3;1;7;2020;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-3174658/;2022-01-27 00:00:00.0000000;1223;17;2022-02-17 01:28:26.8859900;butas
